,a,b,c
607,BD$PRODUCTOS,Confirmed,87
608,BD$SOPORTE_ADMON,Confirmed,87
609,BD$SOPORTE_DIR,Confirmed,87
610,BD$SOPORTE_TEC,Confirmed,87
611,BD$COMPROMISOS,Confirmed,88
612,BD$PERSONAL,Confirmed,88
613,BD$VOLVER.A.CONTRATAR,Confirmed,88
614,BD$PRODUCTOS,Confirmed,88
615,BD$SOPORTE_ADMON,Confirmed,88
616,BD$SOPORTE_DIR,Confirmed,88
617,BD$SOPORTE_TEC,Confirmed,88
618,BD$COMPROMISOS,Confirmed,89
619,BD$PERSONAL,Confirmed,89
620,BD$VOLVER.A.CONTRATAR,Confirmed,89
621,BD$PRODUCTOS,Confirmed,89
622,BD$SOPORTE_ADMON,Confirmed,89
623,BD$SOPORTE_DIR,Confirmed,89
624,BD$SOPORTE_TEC,Confirmed,89
625,BD$COMPROMISOS,Confirmed,90
626,BD$PERSONAL,Confirmed,90
627,BD$VOLVER.A.CONTRATAR,Confirmed,90
628,BD$PRODUCTOS,Confirmed,90
629,BD$SOPORTE_ADMON,Confirmed,90
630,BD$SOPORTE_DIR,Confirmed,90
631,BD$SOPORTE_TEC,Confirmed,90
632,BD$COMPROMISOS,Confirmed,91
633,BD$PERSONAL,Confirmed,91
634,BD$VOLVER.A.CONTRATAR,Confirmed,91
635,BD$PRODUCTOS,Confirmed,91
636,BD$SOPORTE_ADMON,Confirmed,91
637,BD$SOPORTE_DIR,Confirmed,91
638,BD$SOPORTE_TEC,Confirmed,91
639,BD$COMPROMISOS,Confirmed,92
640,BD$PERSONAL,Confirmed,92
641,BD$VOLVER.A.CONTRATAR,Confirmed,92
642,BD$PRODUCTOS,Confirmed,92
643,BD$SOPORTE_ADMON,Confirmed,92
644,BD$SOPORTE_DIR,Confirmed,92
645,BD$SOPORTE_TEC,Confirmed,92
646,BD$COMPROMISOS,Confirmed,93
647,BD$PERSONAL,Confirmed,93
648,BD$VOLVER.A.CONTRATAR,Confirmed,93
649,BD$PRODUCTOS,Confirmed,93
650,BD$SOPORTE_ADMON,Confirmed,93
651,BD$SOPORTE_DIR,Confirmed,93
652,BD$SOPORTE_TEC,Confirmed,93
653,BD$COMPROMISOS,Confirmed,94
654,BD$PERSONAL,Confirmed,94
655,BD$VOLVER.A.CONTRATAR,Confirmed,94
656,BD$PRODUCTOS,Confirmed,94
657,BD$SOPORTE_ADMON,Confirmed,94
658,BD$SOPORTE_DIR,Confirmed,94
659,BD$SOPORTE_TEC,Confirmed,94
660,BD$COMPROMISOS,Confirmed,95
661,BD$PERSONAL,Confirmed,95
662,BD$VOLVER.A.CONTRATAR,Confirmed,95
663,BD$PRODUCTOS,Confirmed,95
664,BD$SOPORTE_ADMON,Confirmed,95
665,BD$SOPORTE_DIR,Confirmed,95
666,BD$SOPORTE_TEC,Confirmed,95
667,BD$COMPROMISOS,Confirmed,96
668,BD$PERSONAL,Confirmed,96
669,BD$VOLVER.A.CONTRATAR,Confirmed,96
670,BD$PRODUCTOS,Confirmed,96
671,BD$SOPORTE_ADMON,Confirmed,96
672,BD$SOPORTE_DIR,Confirmed,96
673,BD$SOPORTE_TEC,Confirmed,96
674,BD$COMPROMISOS,Confirmed,97
675,BD$PERSONAL,Confirmed,97
676,BD$VOLVER.A.CONTRATAR,Confirmed,97
677,BD$PRODUCTOS,Confirmed,97
678,BD$SOPORTE_ADMON,Confirmed,97
679,BD$SOPORTE_DIR,Confirmed,97
680,BD$SOPORTE_TEC,Confirmed,97
681,BD$COMPROMISOS,Confirmed,98
682,BD$PERSONAL,Confirmed,98
683,BD$VOLVER.A.CONTRATAR,Confirmed,98
684,BD$PRODUCTOS,Confirmed,98
685,BD$SOPORTE_ADMON,Confirmed,98
686,BD$SOPORTE_DIR,Confirmed,98
687,BD$SOPORTE_TEC,Confirmed,98
688,BD$COMPROMISOS,Confirmed,99
689,BD$PERSONAL,Confirmed,99
690,BD$VOLVER.A.CONTRATAR,Confirmed,99
691,BD$PRODUCTOS,Confirmed,99
692,BD$SOPORTE_ADMON,Confirmed,99
693,BD$SOPORTE_DIR,Confirmed,99
694,BD$SOPORTE_TEC,Confirmed,99
695,BD$COMPROMISOS,Confirmed,100
696,BD$PERSONAL,Confirmed,100
697,BD$VOLVER.A.CONTRATAR,Confirmed,100
698,BD$PRODUCTOS,Confirmed,100
699,BD$SOPORTE_ADMON,Confirmed,100
700,BD$SOPORTE_DIR,Confirmed,100
701,BD$SOPORTE_TEC,Confirmed,100
