CECOS,COMPROMISOS,SATISFACCION,PERSONAL,VOLVER A CONTRATAR,PRODUCTOS,SOPORTE_ADMON,SOPORTE_DIR,SOPORTE_TEC,CANTIDAD_OTROSI,NIT FINAL,RETORNADO,MULTIPLICADOR,RETORNADO_CATEGORIA,SERVICIO,OTRO_SIESCAT
1157,4,4,4,4,4,4,4,4,4,79143254,0,4.893334178,NO,GER,SI
1044,4,4,4,4,4,4,4,4,7,860043896,1,2.005366021,SI,INT,SI
1233,4,4,4,4,4,4,4,4,0,2913770,1,1.324035406,SI,GER,NO
1225,3.9,4,4,4,3.9,3.8,3.9,3.7,6,800242106,1,1.975445378,SI,INT,SI
1238,4,4,4,4,4,4,4,4,4,800141397,0,2.478106211,NO,INT,SI
1208,4,4,4,4,4,4,4,4,5,860043896,1,2.105262962,SI,INT,SI
1034,4,4,4,4,4,4,4,4,15,860528329,0,3.037621039,NO,INT,SI
1240,4,4,4,4,4,4,4,4,0,2913770,1,2.444429596,SI,INT,NO
1221,4,4,4,4,4,4,4,4,11,860007386,1,2.214319384,SI,GER,SI
1380,4,4,4,4,4,4,4,4,0,860007386,1,0,SI,GER,NO
1214,4,4,4,4,4,4,4,4,0,800242106,1,2.310095702,SI,INT,NO
1217,4.2,4,4,4,4.4,0,3.4,2.8,0,806009227,0,0,NO,ASE,NO
1378,5,5,5,5,5,5,5,5,1,800242106,1,1.814332596,SI,INT,SI
1487,3.8,3.8,3.6,4,0,3,5,3.8,1,811011899,1,1.206691632,SI,INT,SI
