CIUDAD;DEPARTAMENTO;ACUERDO DE OBRA;INSTITUCIÓN EDUCATIVA;FECHA INICIO F1;TIPO DE INTERVENCION;FECHA FIN F1;VALOR INICIAL F1;VALOR ADICIONADO REAL F1;VALOR FACTURADO REAL FASE 1;PLAZO FASE 1;FECHA FIN ULTIMO PRODUCTO F1;FECHA RADICACIÓN LICENCIA;FECHA EXPEDICIÓN LICENCIA;DIFERENCIA;DIF_TRASLA;FECHA ORDEN DE INICIO F2;PLAZO FASE OBRA (F2);VALOR INICIAL F2;VALOR ADICIONADO REAL F2;VALOR FACTURADO REAL F2;FECHA FIN F2 REAL;ESTADO ACTUAL F1;ESTADO ACTUAL F2;COMENTARIOS;AVANCE FASE 1;AVANCE FASE 2;PAGO ETAPA 1 F2;PAGO ETAPA 2 F2;PAGO ETAPA 3 F2;PAGO ETAPA 4 F2;PAGO ETAPA 5 F2;FECHA INI REAL F2 ETAPA 1;FECHA INI REAL F2 ETAPA 2;FECHA INI REAL F2 ETAPA 3;FECHA INI REAL F2 ETAPA 4;FECHA INI REAL F2 ETAPA 5;PLAZO ETAPA 1 F2;PLAZO ETAPA 2 F2;PLAZO ETAPA 3 F2;PLAZO ETAPA 4 F2;PLAZO ETAPA 5 F2;SUSPENSION TOTAL F2 ETAPA 1;SUSPENSION TOTAL F2 ETAPA 2;SUSPENSION TOTAL F2 ETAPA 3;SUSPENSION TOTAL F2 ETAPA 4;SUSPENSION TOTAL F2 ETAPA 5;PRORROGA TOTAL F2 ETAPA 1;PRORROGA TOTAL F2 ETAPA 2;PRORROGA TOTAL F2 ETAPA 3;PRORROGA TOTAL F2 ETAPA 4;PRORROGA TOTAL F2 ETAPA 5;AVANCE F2 ETAPA 1;AVANCE F2 ETAPA 2;AVANCE F2 ETAPA 3;AVANCE F2 ETAPA 4;AVANCE F2 ETAPA 5
Turmequé;Boyacá;406026;Técnico Industrial ;4/01/2017;Reconstrucción;19/04/2017;9235792;0;;3.5;30/01/2018;;10/11/2017;-81;95;30/01/2018;8;125822214;0;;8/02/2019;Terminado;"Iniciado
";;1;0.192;13840443.54;62785284.79;10065777.12;28309998.15;10820710.4;1/03/2019;24/02/2018;17/03/2018;;;85;211;196;115;242;;;;;;;;;;;1;0.1435;0;0;0.1056
Maripi;Boyacá;406016;Jorge Eliecer Gaitán;4/01/2017;Ampliación;19/04/2017;10120950;0;;3.5;28/03/2018;;16/11/2017;-132;44;2/04/2018;8;136174517;0;;2/12/2018;Terminado;"Iniciado
";;1;0.629;14979196.87;67951083.98;10893961.36;30639266.33;11711008.46;1/03/2019;14/04/2018;5/05/2018;23/06/2018;12/01/2019;57;576;561;480;607;;;;;;;;;;;1;0.82648;0.2912;0.1584;0.2552
Chiquinquirá;Boyacá;406013;José Joaquín Casas;2/08/2017;Ampliación;17/10/2017;5307685;0;;2.5;6/04/2018;28/02/2018;19/04/2018;13;189;12/06/2018;7;73056137;0;;12/01/2019;Terminado;"Iniciado
";;1;0.6676;8036175.07;36455012.36;5844490.96;16437630.83;6282827.782;1/03/2019;16/06/2018;16/06/2018;26/01/2019;16/06/2018;0;0;0;0;0;;;;;;;;;;;1;0.82612;0.71704;0.1632;0.45
Chitaraque;Boyacá;406014;San Pedro Claver;4/01/2017;Reconstrucción;19/04/2017;9590360;0;;3.5;15/05/2018;5/09/2017;5/12/2017;-161;15;5/06/2018;8;129295490;0;;4/03/2019;Terminado;"Iniciado
";;1;0.4659;14222503.9;64518449.51;10343639.2;29091485.25;11119412.14;1/03/2019;16/06/2018;21/07/2018;1/12/2018;24/11/2018;76;211;196;115;242;;;;;;;;;;;0.999981818;0.5545631;0.1374;0.032;0.4668
Chiscas;Boyacá;406029;Las Mercedes;24/05/2017;Ampliación;8/09/2017;8671732;0;;3.5;24/08/2018;;16/04/2018;-130;46;3/09/2018;8;120038951;0;;;Terminado;"Iniciado
";;1;0.1113;13204284.61;59899436.55;9603116.08;27008763.98;10323349.79;1/03/2019;8/09/2018;15/12/2018;;;57;211;196;115;242;;;;;;;;;;;0.95;0.01188;0;0;0.0096
Panqueba;Boyacá;406031;Técnica de Panqueba;24/05/2017;Ampliación;8/08/2017;1936494;0;;2.5;24/05/2018;4/04/2018;9/04/2018;-45;131;14/06/2018;4.5;57907527;0;;29/10/2018;Terminado;"Abandonado
";;1;0.2772;6369827.97;28895855.97;4632602.16;13029193.58;4980047.322;1/03/2019;16/06/2018;16/06/2018;4/08/2018;20/10/2018;30;105;98;56;122;;;;;;;;;;;1;0.3129;0.0138;0.0008;0.1196
Pesca;Boyacá;406034;Indalecio Vásquez;30/08/2017;Nuevo;15/12/2018;9224040;0;;3.5;;27/04/2018;10/05/2018;;;;8;123787609;0;;;Iniciado;No iniciado;;0.87175;0;13616636.99;61770016.89;9903008.72;27852212.03;10645734.37;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
San Luis de Gaceno;Boyacá;406032;San Luis de Gaceno;24/05/2017;Nuevo;8/09/2017;12817990;0;;3.5;;24/11/2017;;;;;9;169634356;0;;;Iniciado;No iniciado;;0.82;0;18659779.16;84647543.64;13570748.48;38167730.1;14588554.62;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Garagoa;Boyacá;406030;Marco Aurelio Bernal;24/05/2017;Ampliación;7/11/2017;16411252;0;;3.5;;;;;;;10;183686113;0;;;Iniciado;No iniciado;;0.6499;0;20205472.43;91659370.39;14694889.04;41329375.43;15797005.72;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Güepsa;Santander;406037;Santo Domingo Savio - Sede A;27/09/2017;Ampliación;11/01/2018;25589292;0;;3.5;;13/04/2018;29/05/2018;;;;12;299004153;0;;;Iniciado;No iniciado;;1;0;32890456.83;149203072.3;23920332.24;67275934.43;25714357.16;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Umbita;Boyacá;;Divino Niño;;;;;0;;;;;;;;;;;0;;;Inviable;Sin información;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Málaga;Santander;406039;IE Nuestra Señora del Rosario;28/07/2017;Nuevo;12/11/2017;30578677;0;;3.5;5/09/2018;23/05/2018;1/06/2018;-96;80;;12;287206933;0;;;Terminado;"Iniciado
";;1;0.1215;31592762.63;143316259.6;22976554.64;64621559.93;24699796.24;1/03/2019;16/03/2019;23/03/2019;;;0;0;0;0;0;;;;;;;;;;;1;0.0198;0;0;0.0208
