CIUDAD;DEPARTAMENTO;ACUERDO DE OBRA;INSTITUCIÓN EDUCATIVA;FECHA INICIO F1;TIPO DE INTERVENCION;FECHA FIN F1;VALOR INICIAL F1;VALOR ADICIONADO REAL F1;VALOR FACTURADO REAL FASE 1;PLAZO FASE 1;FECHA FIN ULTIMO PRODUCTO F1;FECHA RADICACIÓN LICENCIA;FECHA EXPEDICIÓN LICENCIA;DIFERENCIA;DIF_TRASLA;FECHA ORDEN DE INICIO F2;PLAZO FASE OBRA (F2);VALOR INICIAL F2;VALOR ADICIONADO REAL F2;VALOR FACTURADO REAL F2;FECHA FIN F2 REAL;ESTADO ACTUAL F1;ESTADO ACTUAL F2;COMENTARIOS;AVANCE FASE 1;AVANCE FASE 2;PAGO ETAPA 1 F2;PAGO ETAPA 2 F2;PAGO ETAPA 3 F2;PAGO ETAPA 4 F2;PAGO ETAPA 5 F2;FECHA INI REAL F2 ETAPA 1;FECHA INI REAL F2 ETAPA 2;FECHA INI REAL F2 ETAPA 3;FECHA INI REAL F2 ETAPA 4;FECHA INI REAL F2 ETAPA 5;PLAZO ETAPA 1 F2;PLAZO ETAPA 2 F2;PLAZO ETAPA 3 F2;PLAZO ETAPA 4 F2;PLAZO ETAPA 5 F2;SUSPENSION TOTAL F2 ETAPA 1;SUSPENSION TOTAL F2 ETAPA 2;SUSPENSION TOTAL F2 ETAPA 3;SUSPENSION TOTAL F2 ETAPA 4;SUSPENSION TOTAL F2 ETAPA 5;PRORROGA TOTAL F2 ETAPA 1;PRORROGA TOTAL F2 ETAPA 2;PRORROGA TOTAL F2 ETAPA 3;PRORROGA TOTAL F2 ETAPA 4;PRORROGA TOTAL F2 ETAPA 5;AVANCE F2 ETAPA 1;AVANCE F2 ETAPA 2;AVANCE F2 ETAPA 3;AVANCE F2 ETAPA 4;AVANCE F2 ETAPA 5
San Vicente de Chucurí;Santander;;IE Integrado Camilo Torres Sede B;;;;;0;;;;;;;;;;;0;;;Inviable;Sin información;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piedecuesta;Santander;406053;Carlos Vicente Rey Sede A;17/11/2017;Ampliación;4/03/2018;12225856;0;;3.5;;19/03/2018;;;;;8;139424195;0;;;Iniciado;No iniciado;;0.97975;0;15336661.45;69572673.31;11153935.6;31370443.88;11990480.77;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
Piedecuesta;Santander;406055;Normal Superior Sede A;16/11/2017;Ampliación;3/03/2018;28701469;0;;3.5;;18/06/2018;;;;;11;266763226;0;;;Iniciado;No iniciado;;0.9298;0;29343954.86;133114849.8;21341058.08;60021725.85;22941637.44;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
Piedecuesta;Santander;406056;Nuestro Señor de la Buena Esperanza;17/11/2017;Ampliación;1/02/2018;5613325;0;;2.5;;16/02/2018;;;;;7;101097588;0;;;Pendiente de licencia;No iniciado;;1;0;11120734.68;50447696.41;8087807.04;22746957.3;8694392.568;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
Floridablanca;Santander;402030;Metropolitano del Sur;5/04/2018;Ampliación;19/06/2018;721954.944;0;;2.5;;;;;;;2.5;26613198;0;;;"Pendiente de licencia
";No iniciado;;1;0;2927451.78;13279985.8;2129055.84;5987969.55;2288735.028;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
Piedecuesta;Santander;406064;Gabriela Mistral;21/11/2017;Ampliación;8/03/2018;9655521;0;;3.5;;23/03/2018;;;;;8;129978552;0;;;Iniciado;No iniciado;;0.9865;0;14297640.72;64859297.45;10398284.16;29245174.2;11178155.47;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
Bucaramanga;Santander;402027;IE San José de La Salle Sede C;30/01/2018;Nuevo;15/05/2018;19465867;0;;3.5;;;;;;;10;208826396;0;;;Iniciado;No iniciado;;0.8443;0;22970903.56;104204371.6;16706111.68;46985939.1;17959070.06;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
Umbita;Boyacá;406059;Divino Niño;21/11/2017;Ampliación;8/03/2018;7610608;0;;3.5;;18/06/2018;;;;;7;112729476;0;;;Iniciado;No iniciado;;0.84835;0;12400242.36;56252008.52;9018358.08;25364132.1;9694734.936;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
Bucaramanga;Santander;406062;IE Bosconia Sede Santa Rita;21/11/2017;Reconstrucción;5/02/2018;6512165;0;;2.5;;20/02/2018;;;;;7;132840556;0;;;Iniciado;No iniciado;;0.3684;0;14612461.16;66287437.44;10627244.48;29889125.1;11424287.82;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
Bucaramanga;Santander;402028;IE Politécnico Sede C;26/01/2018;Reconstrucción;11/05/2018;18108410;0;;3.5;;;;;;;10;201297084;0;;;Iniciado;No iniciado;;0.829;0;22142679.24;100447244.9;16103766.72;45291843.9;17311549.22;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
Charalá;Santander;402042;IE Helena Santos Rosillo;9/04/2018;Nuevo;24/07/2018;24147244;0;;3.5;;;;;;;11;269505298;0;;;Iniciado;No iniciado;;0.91;0;29645582.78;134483143.7;21560423.84;60638692.05;23177455.63;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
Floridablanca;Santander;402043;El Carmen;-;Nuevo;;28007522;0;;3.5;;;;;;;12;299856839;0;;;Iniciado;No iniciado;;0;0;32984252.29;149628562.7;23988547.12;67467788.78;25787688.15;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
